<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,W,20160425,000000,44.9200000,48.2900000,44.2600000,47.0100000,792695
ICE.BRN,W,20160502,000000,47.0300000,47.3900000,44.1900000,46.2800000,913449
ICE.BRN,W,20160509,000000,46.3100000,48.1900000,43.3300000,47.9200000,981321
ICE.BRN,W,20160516,000000,47.9200000,49.8500000,47.3800000,48.6400000,859573
ICE.BRN,W,20160523,000000,48.6000000,50.5100000,47.5800000,50.0300000,582722
ICE.BRN,W,20160530,000000,50.0200000,50.8700000,48.6500000,49.8300000,680004
ICE.BRN,W,20160606,000000,49.8300000,52.8600000,49.7200000,50.2700000,795019
ICE.BRN,W,20160613,000000,50.2600000,50.7900000,46.9400000,49.4600000,870637
ICE.BRN,W,20160620,000000,49.4200000,51.2400000,47.5400000,48.7300000,921169
ICE.BRN,W,20160627,000000,48.7600000,51.4400000,47.3000000,50.5300000,730867
ICE.BRN,W,20160704,000000,50.5100000,50.7500000,46.1500000,46.6100000,873541
ICE.BRN,W,20160711,000000,46.5800000,48.5700000,45.9000000,47.6700000,797030
ICE.BRN,W,20160718,000000,47.6900000,47.9000000,45.1700000,45.6300000,701127
ICE.BRN,W,20160725,000000,45.6500000,45.8700000,42.5200000,43.2700000,698629
ICE.BRN,W,20160801,000000,43.2600000,44.4900000,41.5100000,44.3000000,870262
ICE.BRN,W,20160808,000000,44.3100000,47.2500000,43.4600000,47.1500000,842601
ICE.BRN,W,20160815,000000,47.1300000,51.2200000,46.8400000,50.4000000,857781
ICE.BRN,W,20160822,000000,50.3800000,50.9900000,48.4800000,49.6800000,709765
ICE.BRN,W,20160829,000000,49.6500000,49.8200000,49.6800000,49.7600000,273
ICE.BRN,W,20160926,000000,46.8700000,50.3900000,46.1700000,49.9000000,1038550
ICE.BRN,W,20161003,000000,49.8800000,52.8400000,49.7400000,51.5300000,908081
ICE.BRN,W,20161010,000000,51.5100000,53.7300000,50.9200000,51.7900000,839997
ICE.BRN,W,20161017,000000,51.7900000,53.1400000,51.1200000,51.5600000,704868
ICE.BRN,W,20161024,000000,51.6000000,52.0100000,50.2200000,50.3500000,708217
ICE.BRN,W,20161031,000000,50.3400000,50.7600000,45.0800000,45.9400000,1133386
ICE.BRN,W,20161107,000000,45.9500000,46.9500000,44.1900000,44.8600000,916171
ICE.BRN,W,20161114,000000,44.8800000,47.6200000,43.5700000,47.3600000,893010
ICE.BRN,W,20161121,000000,47.3500000,49.9600000,46.8500000,47.4200000,722382
ICE.BRN,W,20161128,000000,47.4100000,54.5300000,46.9100000,54.0900000,1454943
ICE.BRN,W,20161205,000000,54.0800000,57.8900000,52.8100000,56.8000000,810278
ICE.BRN,W,20161212,000000,56.7600000,57.2600000,53.1500000,55.3000000,823661
ICE.BRN,W,20161219,000000,55.2900000,55.9200000,54.0500000,55.0800000,486217
ICE.BRN,W,20161226,000000,55.9600000,57.8200000,55.7700000,56.7500000,359727
ICE.BRN,W,20170102,000000,56.8200000,58.3700000,55.3000000,56.9700000,672477
ICE.BRN,W,20170109,000000,56.9600000,57.0000000,53.5800000,55.5900000,877250
ICE.BRN,W,20170116,000000,55.6400000,56.9500000,53.7700000,55.6000000,750467
ICE.BRN,W,20170123,000000,55.6000000,56.7800000,54.6500000,55.4300000,634641
ICE.BRN,W,20170130,000000,55.4400000,57.4500000,54.9600000,56.9100000,833182
ICE.BRN,W,20170206,000000,56.9100000,57.1300000,54.4400000,56.7000000,764014
ICE.BRN,W,20170213,000000,56.7100000,56.7900000,55.1000000,55.7800000,646734
ICE.BRN,W,20170220,000000,55.7700000,57.3100000,55.6400000,56.3500000,446446
ICE.BRN,W,20170227,000000,56.3500000,57.0600000,55.0300000,55.9100000,853370
ICE.BRN,W,20170306,000000,55.8900000,56.6500000,50.8500000,50.9900000,1122828
ICE.BRN,W,20170313,000000,51.0000000,52.6500000,50.2500000,51.6800000,874070
ICE.BRN,W,20170320,000000,51.6800000,52.2200000,49.7100000,51.1200000,676996
ICE.BRN,W,20170327,000000,51.1000000,53.7700000,50.1300000,53.4800000,753174
ICE.BRN,W,20170403,000000,53.5000000,56.0800000,52.7300000,55.4200000,783056
ICE.BRN,W,20170410,000000,55.4400000,56.6500000,55.2300000,55.6700000,566244
ICE.BRN,W,20170417,000000,55.6500000,55.9800000,51.5700000,52.2000000,796656
ICE.BRN,W,20170424,000000,52.2200000,52.9500000,51.0100000,51.8500000,820265
ICE.BRN,W,20170501,000000,51.8500000,52.1600000,46.6400000,49.4500000,1124039
ICE.BRN,W,20170508,000000,49.4500000,51.1600000,48.3900000,50.7600000,892960
ICE.BRN,W,20170515,000000,50.7500000,54.0100000,50.7400000,54.0100000,901007
ICE.BRN,W,20170522,000000,54.0200000,54.6700000,51.0300000,52.6200000,932780
ICE.BRN,W,20170529,000000,52.6300000,52.9600000,48.9500000,49.9500000,883001
ICE.BRN,W,20170605,000000,49.9600000,50.7400000,47.4000000,48.3300000,967141
ICE.BRN,W,20170612,000000,48.3300000,49.1500000,46.7000000,47.2500000,815659
ICE.BRN,W,20170619,000000,47.2800000,47.7600000,44.3500000,45.9800000,750991
ICE.BRN,W,20170626,000000,45.9600000,49.0000000,45.2600000,48.9200000,690488
ICE.BRN,W,20170703,000000,48.9400000,49.9000000,46.2800000,46.8800000,877613
ICE.BRN,W,20170710,000000,46.9500000,49.1400000,46.1100000,49.0300000,801685
ICE.BRN,W,20170717,000000,49.0400000,50.1900000,47.8100000,48.0300000,743040
ICE.BRN,W,20170724,000000,48.0200000,52.5100000,47.6800000,52.4300000,675717
ICE.BRN,W,20170731,000000,52.4200000,52.9300000,50.8800000,52.4200000,879568
ICE.BRN,W,20170807,000000,52.4200000,53.6400000,51.3000000,52.0500000,801478
ICE.BRN,W,20170814,000000,52.0500000,52.9600000,50.0000000,52.8000000,839260
ICE.BRN,W,20170821,000000,52.8100000,52.8500000,51.3000000,52.3500000,689997
ICE.BRN,W,20170828,000000,52.3500000,52.9500000,50.4900000,52.4400000,840363
ICE.BRN,W,20170904,000000,52.4500000,54.8700000,51.9900000,53.9000000,752647
ICE.BRN,W,20170911,000000,53.9100000,55.9900000,53.0500000,55.5100000,673648
ICE.BRN,W,20170918,000000,55.4900000,56.9100000,54.8200000,56.8800000,604780
ICE.BRN,W,20170925,000000,56.8900000,59.2500000,56.4400000,56.7200000,856958
ICE.BRN,W,20171002,000000,56.7200000,57.2800000,55.1300000,55.6500000,908972
ICE.BRN,W,20171009,000000,55.6400000,57.9000000,55.0600000,57.7500000,773435
ICE.BRN,W,20171016,000000,57.7500000,58.5400000,56.6000000,57.9800000,847657
ICE.BRN,W,20171023,000000,57.9800000,60.5200000,57.0400000,60.3800000,695497
ICE.BRN,W,20171030,000000,60.3800000,62.4400000,59.9100000,62.3400000,835220
ICE.BRN,W,20171106,000000,62.3100000,64.6500000,62.1400000,63.7000000,906104
ICE.BRN,W,20171113,000000,63.6800000,63.7000000,61.0800000,62.5400000,811867
ICE.BRN,W,20171120,000000,62.5400000,63.9500000,61.4400000,63.4100000,541936
ICE.BRN,W,20171127,000000,63.4100000,64.3200000,61.9300000,63.5800000,890862
ICE.BRN,W,20171204,000000,63.5800000,63.6400000,61.1300000,63.1500000,746096
ICE.BRN,W,20171211,000000,63.1600000,65.8300000,62.0100000,63.3200000,854088
ICE.BRN,W,20171218,000000,63.3100000,65.2800000,63.0000000,65.2500000,434507
ICE.BRN,W,20171225,000000,64.7400000,66.9800000,64.4800000,66.8700000,393890
ICE.BRN,W,20180101,000000,66.5500000,68.2700000,66.2400000,67.7900000,488106
ICE.BRN,W,20180108,000000,67.7800000,70.0500000,67.4400000,69.7200000,735728
ICE.BRN,W,20180115,000000,69.7300000,70.3700000,68.2800000,68.7400000,697860
ICE.BRN,W,20180122,000000,68.7600000,71.2800000,68.3900000,70.1000000,630917
ICE.BRN,W,20180129,000000,70.0900000,70.2700000,67.8100000,68.1200000,790039
ICE.BRN,W,20180205,000000,68.1100000,68.4600000,61.7700000,62.8400000,1125012
ICE.BRN,W,20180212,000000,62.8300000,65.2200000,61.7600000,65.0600000,876139
ICE.BRN,W,20180219,000000,65.0300000,67.3700000,64.4000000,67.0200000,546054
ICE.BRN,W,20180226,000000,66.9900000,67.6700000,63.1900000,64.6700000,810417
ICE.BRN,W,20180305,000000,64.7400000,66.1600000,63.4300000,65.6400000,692651
ICE.BRN,W,20180312,000000,65.6500000,66.4200000,64.0500000,66.0000000,612846
ICE.BRN,W,20180319,000000,66.0000000,70.5700000,65.3900000,69.8500000,743704
ICE.BRN,W,20180326,000000,69.8600000,70.4000000,67.9700000,69.5100000,521886
ICE.BRN,W,20180402,000000,69.5100000,70.0400000,66.6900000,67.2300000,730422
ICE.BRN,W,20180409,000000,67.2100000,73.0900000,67.1200000,72.2700000,957500
