"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2016","376.75","374.25","380.50","369.50","48.25K","-0.07%"
"Apr 13, 2016","377.00","378.00","383.00","372.75","83.61K","4.72%"
"Apr 12, 2016","360.00","357.25","365.75","357.25","10.41K","0.00%"
"Apr 11, 2016","360.00","356.00","362.00","348.50","37.82K","1.48%"
"Apr 08, 2016","354.75","333.00","355.25","332.25","39.11K","9.66%"
"Apr 07, 2016","323.50","335.50","340.75","322.75","38.48K","-1.67%"
"Apr 06, 2016","329.00","317.50","335.25","316.50","33.82K","4.61%"
"Apr 05, 2016","314.50","319.00","319.75","312.00","43.50K","-4.33%"
"Apr 04, 2016","328.75","334.75","337.50","318.25","42.34K","-2.08%"
"Apr 01, 2016","335.75","351.00","353.25","334.25","28.93K","-5.42%"
"Mar 31, 2016","355.00","345.25","356.00","344.00","37.29K","1.07%"
"Mar 30, 2016","351.25","349.00","359.25","346.25","40.16K","2.86%"
"Mar 29, 2016","341.50","353.25","353.75","340.50","51.40K","-2.98%"
"Mar 28, 2016","352.00","360.00","363.00","350.00","14.13K","-2.43%"
"Mar 24, 2016","360.75","359.00","362.75","351.75","41.81K","-0.62%"
"Mar 23, 2016","363.00","372.50","372.75","359.50","52.38K","-2.94%"
"Mar 22, 2016","374.00","370.25","376.50","366.25","46.30K","1.01%"
"Mar 21, 2016","370.25","373.50","376.25","365.00","59.87K","-1.27%"
"Mar 18, 2016","375.00","374.00","381.00","370.25","50.83K","-0.07%"
"Mar 17, 2016","375.25","368.75","376.00","366.50","57.45K","2.74%"
"Mar 16, 2016","365.25","354.00","368.00","351.00","65.42K","4.36%"
"Mar 15, 2016","350.00","359.25","359.75","346.75","68.72K","-1.62%"
"Mar 14, 2016","355.75","365.50","365.75","350.75","79.70K","-3.07%"
"Mar 11, 2016","367.00","366.75","372.25","363.50","62.82K","1.17%"
"Mar 10, 2016","362.75","363.50","365.00","359.00","5.55K","0.00%"
"Mar 09, 2016","362.75","356.25","367.00","356.25","41.84K","0.83%"
"Mar 08, 2016","359.75","362.75","369.75","355.00","48.23K","1.34%"
"Mar 07, 2016","355.00","343.75","364.50","341.50","46.92K","5.42%"
"Mar 04, 2016","336.75","330.75","343.50","327.50","32.86K","1.89%"
"Mar 03, 2016","330.50","328.00","333.50","325.25","38.24K","-0.30%"
"Mar 02, 2016","331.50","322.50","333.25","320.75","50.29K","2.63%"
"Mar 01, 2016","323.00","320.00","328.50","319.00","37.38K","-0.46%"
"Feb 29, 2016","324.50","314.50","326.00","311.75","43.94K","-0.23%"
"Feb 26, 2016","325.25","315.25","330.50","312.25","44.62K","5.86%"
"Feb 25, 2016","307.25","313.00","320.25","303.00","49.39K","1.65%"
"Feb 24, 2016","302.25","301.75","315.00","297.25","53.59K","0.08%"
"Feb 23, 2016","302.00","313.00","319.25","301.00","56.38K","-4.81%"
"Feb 22, 2016","317.25","306.75","320.00","306.50","62.17K","3.09%"
"Feb 19, 2016","307.75","317.00","321.00","302.75","59.72K","-4.20%"
"Feb 18, 2016","321.25","322.25","330.75","317.00","66.07K","0.16%"
"Feb 17, 2016","320.75","306.25","325.50","299.25","90.74K","4.91%"
"Feb 16, 2016","305.75","319.50","327.75","302.00","84.35K","-2.16%"
"Feb 15, 2016","312.50","312.25","316.25","308.25","41.02K","0.24%"
"Feb 12, 2016","311.75","296.75","314.00","294.75","74.21K","12.85%"
"Feb 11, 2016","276.25","276.00","277.75","272.25","11.91K","0.00%"
"Feb 10, 2016","276.25","279.50","284.75","274.50","46.20K","-3.75%"
"Feb 09, 2016","287.00","298.75","301.00","275.00","27.60K","-5.75%"
"Feb 08, 2016","304.50","302.75","309.00","296.25","21.90K","-0.33%"
"Feb 05, 2016","305.50","309.50","311.75","300.25","31.75K","-2.08%"
"Feb 04, 2016","312.00","314.50","321.25","305.25","41.77K","2.55%"
"Feb 03, 2016","304.25","286.50","315.50","286.50","46.88K","4.55%"
"Feb 02, 2016","291.00","296.75","297.25","281.50","40.29K","-2.59%"
"Feb 01, 2016","298.75","309.75","313.00","294.50","38.66K","-1.73%"
"Jan 29, 2016","304.00","307.25","312.25","300.25","53.47K","-1.22%"
"Jan 28, 2016","307.75","296.50","323.00","294.75","52.46K","5.39%"
"Jan 27, 2016","292.00","281.25","300.50","277.00","44.62K","3.27%"
"Jan 26, 2016","282.75","270.25","289.50","262.50","62.05K","1.98%"
"Jan 25, 2016","277.25","291.50","296.75","269.75","71.16K","-2.38%"
"Jan 22, 2016","284.00","265.75","292.75","263.00","73.84K","9.65%"
"Jan 21, 2016","259.00","254.00","269.75","245.25","76.42K","4.75%"
"Jan 20, 2016","247.25","265.50","265.50","246.50","75.01K","-8.60%"
"Jan 19, 2016","270.50","269.50","280.00","265.00","84.79K","-0.46%"
"Jan 18, 2016","271.75","274.75","279.25","266.00","45.46K","-2.51%"
"Jan 15, 2016","278.75","288.25","288.50","274.00","71.59K","-1.59%"
"Jan 14, 2016","283.25","284.75","291.25","280.25","75.07K","-1.48%"
"Jan 13, 2016","287.50","293.50","298.75","283.75","79.72K","-0.61%"
"Jan 12, 2016","289.25","286.50","293.50","282.25","4.88K","0.00%"
"Jan 11, 2016","289.25","297.75","300.25","286.50","41.41K","-2.53%"
"Jan 08, 2016","296.75","310.00","313.75","296.00","33.67K","-6.09%"
"Jan 07, 2016","316.00","315.00","316.75","299.00","41.53K","0.40%"
"Jan 06, 2016","314.75","329.75","329.75","310.25","42.13K","-4.40%"
"Jan 05, 2016","329.25","330.50","335.00","325.25","45.65K","0.38%"
"Jan 04, 2016","328.00","333.75","346.00","325.75","39.39K","0.54%"
"Dec 31, 2015","326.25","330.25","339.25","323.50","18.85K","-1.51%"
"Dec 30, 2015","331.25","336.75","338.25","328.50","24.22K","-2.93%"
"Dec 29, 2015","341.25","332.25","345.00","331.50","34.47K","1.56%"
"Dec 28, 2015","336.00","339.75","339.75","330.00","14.53K","-1.10%"
"Dec 24, 2015","339.75","342.25","343.75","333.50","18.97K","0.97%"
"Dec 23, 2015","336.50","331.50","343.75","330.50","47.90K","0.67%"
"Dec 22, 2015","334.25","331.50","336.25","328.75","42.78K","1.60%"
"Dec 21, 2015","329.00","334.75","336.50","327.75","53.15K","-4.22%"
"Dec 18, 2015","343.50","332.75","346.00","330.00","60.46K","2.23%"
"Dec 17, 2015","336.00","337.25","344.00","331.50","67.76K","-0.44%"
"Dec 16, 2015","337.50","342.50","348.00","333.25","74.32K","-2.39%"
"Dec 15, 2015","345.75","334.50","356.50","331.50","81.80K","4.38%"
"Dec 14, 2015","331.25","342.25","345.25","323.50","83.79K","-3.50%"
"Dec 11, 2015","343.25","362.50","364.00","339.25","94.84K","-5.51%"
"Dec 10, 2015","363.25","363.00","363.00","354.50","8.59K","0.00%"
"Dec 09, 2015","363.25","369.00","372.75","356.25","36.86K","-1.36%"
"Dec 08, 2015","368.25","374.00","375.25","361.50","33.91K","-1.41%"
"Dec 07, 2015","373.50","394.00","396.25","371.25","40.90K","-5.62%"
"Dec 04, 2015","395.75","401.75","407.50","390.50","34.36K","0.13%"
"Dec 03, 2015","395.25","389.00","408.75","387.25","72.62K","0.57%"
"Dec 02, 2015","393.00","401.75","405.00","383.75","69.91K","-2.42%"
"Dec 01, 2015","402.75","407.00","411.50","399.50","58.10K","-3.99%"
"Nov 30, 2015","419.50","415.75","425.25","405.50","57.48K","0.30%"
"Nov 27, 2015","418.25","425.00","425.00","415.00","35.56K","-0.77%"
"Nov 26, 2015","421.50","431.00","432.50","419.50","43.93K","-1.69%"
"Nov 25, 2015","428.75","432.25","435.00","424.25","41.67K","-1.15%"
"Nov 24, 2015","433.75","428.75","436.25","426.00","68.58K","0.29%"
"Nov 23, 2015","432.50","422.75","434.25","417.25","74.59K","1.82%"
"Nov 20, 2015","424.75","426.50","432.25","422.00","62.52K","-0.53%"
"Nov 19, 2015","427.00","426.75","431.25","422.50","71.99K","1.07%"
"Nov 18, 2015","422.50","423.50","430.75","419.00","73.38K","-0.18%"
"Nov 17, 2015","423.25","426.25","431.00","418.50","65.92K","1.99%"
"Nov 16, 2015","415.00","424.75","429.00","413.75","79.35K","-2.64%"
"Nov 13, 2015","426.25","430.00","437.50","422.00","79.97K","-2.90%"
"Nov 12, 2015","439.00","442.25","445.25","439.25","5.73K","0.00%"
"Nov 11, 2015","439.00","447.00","452.50","438.25","38.02K","-2.39%"
"Nov 10, 2015","449.75","447.50","453.00","443.25","32.18K","0.39%"
"Nov 09, 2015","448.00","452.00","459.25","446.25","36.68K","-0.28%"
"Nov 06, 2015","449.25","449.00","456.75","447.25","30.23K","-0.44%"
"Nov 05, 2015","451.25","457.00","457.50","447.75","30.96K","-1.15%"
"Nov 04, 2015","456.50","469.75","475.75","453.25","53.24K","-1.93%"
"Nov 03, 2015","465.50","455.75","475.00","453.50","35.81K","2.65%"
"Nov 02, 2015","453.50","455.00","460.00","450.50","31.81K","-0.38%"
"Oct 30, 2015","455.25","450.00","460.25","447.00","31.17K","0.44%"
"Oct 29, 2015","453.25","450.75","454.75","444.75","49.46K","0.33%"
"Oct 28, 2015","451.75","432.75","452.50","431.00","39.59K","4.81%"
"Oct 27, 2015","431.00","434.00","436.50","427.75","45.64K","-2.10%"
"Oct 26, 2015","440.25","443.75","445.25","433.25","26.76K","-0.79%"
"Oct 23, 2015","443.75","449.25","452.50","440.75","43.90K","-0.17%"
"Oct 22, 2015","444.50","443.25","450.75","442.75","43.61K","0.17%"
"Oct 21, 2015","443.75","442.00","445.75","437.00","48.81K","0.23%"
"Oct 20, 2015","442.75","448.00","448.50","439.50","69.55K","-0.95%"
"Oct 19, 2015","447.00","458.75","461.50","445.00","49.09K","-2.03%"
"Oct 16, 2015","456.25","458.75","462.50","453.00","41.97K","1.50%"
